Seat No.,PH-121,HS-101,CY-105,HS-105/12,MT-111,CS-105,CS-106,EL-102,EE-119,ME-107,CS-107,HS-205/20,MT-222,EE-222,MT-224,CS-210,CS-211,CS-203,CS-214,EE-217,CS-212,CS-215,MT-331,EF-303,HS-304,CS-301,CS-302,TC-383,MT-442,EL-332,CS-318,CS-306,CS-312,CS-317,CS-403,CS-421,CS-406,CS-414,CS-419,CS-423,CS-412,CGPA
CS-97269,4.0,3.7,3.3,3.7,3.7,3.7,3.3,3.7,3.7,2.0,4.0,3.7,3.7,4.0,3.7,3.7,2.0,3.7,3.7,3.7,3.7,3.0,3.0,3.7,3.3,3.7,3.7,3.7,3.3,3.3,3.7,3.7,3.7,3.0,4.0,2.7,3.0,3.7,3.7,3.7,3.7,3.473
CS-97270,3.3,3.7,3.3,3.0,3.0,3.7,3.3,3.7,3.0,1.0,3.7,3.7,3.0,3.7,1.7,2.3,1.3,1.7,3.7,3.3,2.7,2.7,2.7,1.7,3.0,2.3,3.3,2.0,3.7,3.3,3.3,2.3,2.3,2.3,3.3,2.7,2.7,3.7,2.7,2.3,3.3,2.845
CS-97271,4.0,3.0,3.7,3.7,3.7,4.0,3.7,3.3,3.7,3.7,4.0,4.0,3.0,4.0,2.7,3.7,1.3,3.7,3.7,3.7,3.7,3.3,3.7,2.3,3.7,3.7,3.7,3.7,4.0,3.7,3.7,4.0,3.3,3.3,3.7,3.0,3.0,4.0,4.0,3.3,3.7,3.555
CS-97272,3.3,4.0,4.0,2.7,3.3,3.7,3.0,2.3,1.7,1.0,3.7,3.0,1.0,4.0,3.0,3.0,1.3,1.0,1.3,1.7,1.7,3.0,1.3,2.7,3.7,3.3,4.0,2.0,3.3,3.0,4.0,3.3,2.3,4.0,2.7,2.7,3.7,3.7,2.7,3.7,3.0,2.854
CS-97273,2.7,2.7,3.7,3.0,3.3,3.7,2.7,1.7,2.7,2.7,3.0,2.7,3.0,4.0,2.3,3.3,2.3,3.0,3.7,3.0,2.3,3.3,3.0,2.3,2.7,3.0,3.7,2.7,3.7,3.0,3.3,3.3,2.3,3.0,3.3,2.7,3.7,3.7,3.3,3.0,3.3,3.055
CS-97274,2.7,3.0,2.7,2.7,1.7,3.7,2.7,1.3,3.0,1.3,2.7,3.0,2.3,3.7,1.0,2.0,1.0,1.7,1.3,2.7,1.3,2.0,1.0,2.3,3.3,2.0,3.0,2.0,3.7,2.0,2.7,2.7,1.3,2.7,2.7,1.7,3.7,3.7,1.7,1.7,3.7,2.391
CS-97275,3.3,3.0,3.3,3.0,2.3,3.3,1.7,1.3,3.3,1.7,3.0,2.7,4.0,3.3,2.3,3.3,2.0,1.0,1.7,2.7,1.3,2.3,2.3,2.0,2.0,2.3,3.0,3.7,3.7,1.7,3.0,3.7,2.0,2.7,2.3,1.3,3.7,3.7,2.0,2.7,3.7,2.619
CS-97276,2.7,3.3,3.0,1.3,1.7,3.3,1.7,1.0,1.3,1.0,2.7,1.3,1.0,1.7,1.0,1.3,1.3,1.3,1.3,1.7,2.0,3.7,3.7,1.7,2.7,1.0,2.3,1.3,2.3,1.7,2.0,1.3,1.7,1.3,1.7,1.3,3.3,3.3,1.0,1.3,3.0,1.905
CS-97277,1.0,2.3,2.7,1.0,1.7,3.3,1.3,1.7,1.3,1.0,1.7,2.3,1.3,1.7,1.7,2.0,2.3,1.3,2.3,1.3,1.0,2.7,2.7,1.3,1.7,1.0,2.3,2.7,2.7,1.3,2.7,1.7,3.0,2.7,2.7,2.3,3.0,3.3,1.0,1.0,2.0,2.009
CS-97278,3.3,1.3,1.3,3.0,1.3,4.0,3.7,3.0,2.3,1.7,3.7,3.0,3.3,3.7,2.7,3.3,1.7,1.7,1.3,3.7,2.0,2.7,3.7,2.0,3.3,2.7,2.7,3.0,2.7,2.3,2.3,3.0,2.0,2.7,3.0,2.3,3.3,3.7,1.7,2.0,3.7,2.705
CS-97279,2.3,3.7,3.0,2.3,2.7,3.3,1.7,1.0,2.3,2.7,3.3,3.0,1.3,2.3,1.3,2.7,1.3,2.7,1.7,2.3,1.7,1.3,3.7,1.7,2.0,2.3,2.3,4.0,2.3,1.3,2.3,2.7,1.7,2.3,2.0,1.7,3.7,3.7,2.3,2.0,3.3,2.408
CS-97280,2.3,1.7,3.3,2.3,1.3,3.7,2.3,2.0,2.7,1.0,3.7,2.3,1.7,3.7,2.0,2.0,1.0,1.0,1.3,2.3,1.3,2.3,1.0,1.7,3.0,2.0,2.7,2.0,2.3,1.7,3.3,2.3,1.7,1.7,2.7,2.0,3.0,3.7,1.7,2.7,3.7,2.298
CS-97281,4.0,3.7,3.7,4.0,3.7,4.0,2.3,4.0,3.7,3.0,4.0,4.0,3.0,4.0,3.7,3.7,3.7,2.0,4.0,2.7,4.0,3.7,4.0,2.3,3.7,4.0,3.7,3.7,3.7,3.7,3.0,3.7,3.7,3.7,3.0,2.3,3.3,3.7,4.0,3.3,3.7,3.521
CS-97282,,1.3,0.0,0.0,0.0,1.0,,1.0,,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.092
CS-97283,2.7,2.3,1.3,1.0,3.7,2.7,3.0,3.3,,1.0,1.7,3.7,2.3,2.7,3.0,1.0,2.0,1.3,2.7,1.0,1.7,1.7,0.0,,,,,,,1.0,1.3,2.3,0.0,,1.0,,,,,,,2.086
CS-97284,1.3,1.0,1.7,1.0,1.7,2.0,3.3,1.3,1.7,1.3,1.0,2.7,1.0,1.3,1.3,1.3,1.0,1.0,1.0,1.0,1.3,2.0,2.3,1.7,1.0,1.0,2.0,1.0,3.7,1.3,1.7,1.0,1.3,1.7,1.7,1.3,3.3,3.3,1.3,,1.3,2.086
CS-97285,3.7,3.7,4.0,4.0,4.0,4.0,3.7,4.0,3.7,4.0,4.0,4.0,4.0,3.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,3.7,4.0,3.7,3.919
CS-97286,3.3,4.0,4.0,4.0,4.0,4.0,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,3.972
CS-97287,3.0,3.7,4.0,4.0,4.0,3.7,3.7,4.0,4.0,4.0,4.0,3.7,3.7,3.7,4.0,3.7,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.7,4.0,4.0,4.0,4.0,3.7,4.0,4.0,4.0,3.7,,4.0,3.7,4.0,3.3,3.856
CS-97288,3.3,3.0,4.0,3.3,3.7,4.0,3.3,3.3,3.3,4.0,4.0,4.0,3.7,3.0,4.0,4.0,4.0,3.3,4.0,4.0,3.7,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.3,4.0,3.7,,4.0,3.0,3.3,3.7,3.772
CS-97289,1.0,1.7,1.0,2.0,1.0,1.0,2.7,0.0,1.3,0.0,0.0,0.0,,,,,,1.3,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,0.998
CS-97290,2.7,4.0,4.0,4.0,4.0,4.0,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,4.0,4.0,4.0,4.0,3.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,,4.0,4.0,4.0,3.7,3.943
CS-97291,3.0,2.0,3.0,2.3,3.3,3.0,3.0,3.3,3.3,3.0,3.0,4.0,2.7,3.0,3.7,2.3,3.0,2.0,2.7,3.7,3.7,3.3,3.0,2.7,2.0,3.3,3.0,3.0,3.3,3.7,2.0,3.0,4.0,3.0,3.7,2.7,,4.0,3.0,3.7,3.0,3.071
CS-97292,3.0,2.7,4.0,3.3,4.0,3.0,3.3,4.0,3.3,2.0,3.3,4.0,4.0,3.7,4.0,4.0,3.3,3.0,3.7,4.0,3.0,3.7,3.7,3.3,3.0,3.7,4.0,3.7,4.0,3.3,3.0,4.0,4.0,4.0,4.0,3.3,4.0,4.0,3.0,4.0,,3.605
CS-97293,3.7,2.3,4.0,3.7,4.0,3.7,3.7,4.0,3.7,3.0,3.3,4.0,3.3,4.0,4.0,3.7,3.3,3.0,3.7,4.0,3.0,3.7,4.0,3.3,3.3,3.7,4.0,4.0,3.3,3.7,3.0,3.7,4.0,4.0,4.0,3.3,3.7,4.0,3.0,4.0,,3.653
CS-97294,1.0,1.3,1.0,2.0,1.7,1.3,3.0,1.7,2.0,1.7,1.3,2.0,3.0,2.0,1.3,2.0,2.3,2.3,2.0,2.0,1.7,1.7,3.0,2.3,2.3,1.7,3.3,1.3,4.0,0.0,,1.0,1.0,0.0,3.3,0.0,1.7,2.0,3.0,2.7,,1.876
CS-97295,2.3,3.0,4.0,3.7,4.0,3.0,3.7,4.0,2.7,3.0,3.7,4.0,3.3,4.0,4.0,4.0,3.7,3.0,3.3,4.0,2.7,3.0,3.7,3.3,3.7,4.0,4.0,4.0,4.0,3.3,3.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,3.668
CS-97296,1.3,2.0,2.7,2.7,3.3,2.3,3.3,2.7,1.7,2.0,2.7,3.3,1.7,1.3,3.3,3.3,2.3,1.7,3.0,4.0,2.3,2.7,2.7,2.7,2.0,2.7,3.7,3.0,3.0,3.3,2.0,3.3,4.0,3.3,1.7,3.3,3.0,3.7,2.7,4.0,,2.791
CS-97297,1.0,3.3,1.0,1.7,1.7,4.0,3.3,1.0,1.3,2.0,2.3,3.0,1.0,1.0,2.3,1.0,2.3,3.0,2.0,1.3,2.3,1.0,1.7,2.0,2.7,1.3,1.0,3.3,3.7,1.7,2.7,1.3,4.0,1.0,1.0,0.0,,2.3,1.0,2.0,2.0,1.919
CS-97298,2.0,1.7,3.0,1.7,3.3,3.0,3.3,2.7,2.3,2.0,2.3,3.7,1.3,1.0,3.0,2.3,2.7,3.0,1.7,3.3,2.7,1.7,4.0,3.0,1.7,3.7,3.0,3.7,3.3,2.7,1.0,3.0,4.0,2.7,3.7,2.3,,4.0,3.7,3.3,3.0,2.775
CS-97299,3.0,3.0,3.7,2.0,3.0,2.7,3.0,3.7,3.3,3.3,3.3,4.0,1.0,2.7,2.7,2.0,2.3,3.0,2.0,2.7,3.7,2.0,3.0,3.0,2.0,3.0,2.3,2.0,1.7,2.3,3.0,1.3,3.7,1.3,3.0,2.0,3.3,3.7,2.0,3.3,,2.654
CS-97300,2.0,3.3,3.7,2.7,3.3,2.3,2.7,4.0,3.0,2.7,3.0,3.0,3.0,3.7,4.0,3.3,3.7,3.3,3.7,4.0,3.3,3.7,3.7,3.0,3.0,3.7,3.0,4.0,3.7,3.7,3.3,3.3,4.0,3.0,4.0,3.0,,4.0,3.7,3.3,3.0,3.416
CS-97301,2.3,2.7,1.7,3.0,3.7,1.3,3.7,3.7,2.0,1.3,2.0,4.0,1.0,2.0,4.0,4.0,2.7,1.3,2.7,3.3,3.7,2.7,3.3,3.0,2.3,3.7,3.3,3.3,2.7,3.3,2.0,3.3,4.0,3.0,3.7,3.0,3.3,4.0,3.0,4.0,,3.017
CS-97302,3.0,3.3,4.0,3.3,4.0,4.0,3.0,4.0,4.0,3.3,4.0,4.0,3.7,4.0,3.7,3.3,4.0,2.7,3.7,4.0,2.7,4.0,3.7,2.7,3.0,4.0,3.3,4.0,4.0,3.7,3.7,3.3,4.0,3.0,4.0,3.7,,4.0,3.7,3.3,3.3,3.656
CS-97303,3.0,3.7,4.0,3.3,4.0,3.3,3.7,4.0,4.0,4.0,4.0,4.0,2.7,3.7,4.0,4.0,4.0,2.7,4.0,4.0,3.7,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.7,4.0,3.3,,4.0,3.7,4.0,3.7,3.798
CS-97304,1.0,1.7,1.3,3.0,4.0,2.7,3.0,3.3,2.3,2.3,2.3,4.0,1.3,3.0,2.7,3.3,3.3,2.3,3.0,3.7,2.7,3.0,3.0,2.7,2.0,3.0,3.0,2.7,2.0,2.7,1.3,3.0,4.0,2.7,1.3,3.3,3.0,4.0,2.7,3.3,,2.736
CS-97305,1.7,2.0,2.0,3.3,4.0,2.3,3.0,3.7,2.3,2.3,3.0,3.0,2.7,3.3,3.7,3.3,2.0,3.0,3.0,3.7,3.0,1.7,3.3,2.7,2.7,3.7,4.0,3.7,3.0,3.3,2.0,3.3,4.0,3.7,3.7,3.7,3.7,4.0,2.7,4.0,,3.156
CS-97306,2.7,4.0,4.0,4.0,3.7,3.7,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.3,4.0,3.3,3.7,4.0,3.7,4.0,4.0,3.0,4.0,3.7,4.0,4.0,4.0,4.0,3.7,4.0,4.0,3.3,4.0,4.0,3.7,4.0,3.3,4.0,,3.84
CS-97307,2.0,2.0,3.0,3.7,3.7,2.3,3.0,4.0,1.7,1.7,3.0,3.3,3.7,3.3,3.7,3.3,3.3,3.3,2.0,3.3,1.7,2.3,3.7,2.7,1.7,3.7,4.0,3.3,3.3,2.3,1.7,3.3,4.0,3.0,3.3,3.0,3.3,4.0,3.0,4.0,,3.058
CS-97308,2.0,2.0,3.7,3.0,3.3,3.0,3.3,3.7,3.0,3.3,3.7,4.0,1.0,3.0,3.7,2.7,3.3,2.7,3.0,3.7,3.7,3.3,4.0,3.0,3.3,4.0,4.0,3.7,3.0,3.3,2.7,3.0,4.0,2.3,4.0,3.7,3.3,4.0,3.3,3.7,,3.318
CS-97309,1.3,2.3,3.3,3.3,3.3,2.0,3.0,4.0,1.7,2.3,3.0,3.0,2.3,2.7,3.7,3.7,2.3,3.0,2.0,3.0,3.3,2.0,3.7,3.0,1.7,3.3,3.0,3.3,1.3,2.0,2.0,3.3,4.0,3.3,3.3,3.0,3.3,4.0,3.0,4.0,,2.922
CS-97310,1.0,1.0,1.0,1.0,2.3,2.0,3.0,1.3,2.3,1.0,2.3,1.7,3.3,1.3,3.0,1.7,2.3,2.7,3.0,2.0,2.0,1.0,1.7,3.0,1.0,2.3,3.0,3.0,1.7,2.0,1.0,2.0,3.7,1.7,3.7,2.3,2.0,3.7,2.0,3.3,,2.196
CS-97311,2.3,2.7,3.3,3.0,4.0,3.0,3.3,4.0,3.0,3.0,3.3,4.0,1.7,3.3,3.7,4.0,3.0,3.7,3.3,3.7,3.0,2.0,4.0,3.0,2.7,3.7,3.7,3.3,3.3,3.3,1.7,3.7,4.0,3.0,3.7,3.3,3.3,4.0,3.3,4.0,,3.335
CS-97312,3.7,3.0,4.0,3.3,4.0,3.7,3.7,4.0,4.0,2.7,3.7,3.7,2.0,4.0,3.7,3.3,3.3,2.3,3.7,4.0,3.3,3.0,4.0,3.3,3.7,4.0,4.0,4.0,3.3,4.0,3.0,4.0,4.0,3.7,4.0,3.7,3.7,4.0,4.0,4.0,,3.659
CS-97313,3.0,2.0,3.3,2.0,3.7,2.0,3.7,4.0,3.3,2.3,3.7,3.0,3.7,3.7,3.3,3.0,4.0,2.0,3.0,3.3,4.0,3.0,3.0,3.0,3.0,3.3,2.7,3.3,3.7,3.3,3.0,2.7,4.0,3.3,3.3,3.3,2.3,3.7,2.3,3.7,,3.167
CS-97314,1.3,3.7,4.0,3.0,4.0,1.7,3.3,2.7,3.0,2.3,4.0,3.7,1.7,3.7,4.0,3.0,4.0,1.3,4.0,4.0,3.3,4.0,3.7,2.7,3.0,3.3,2.7,4.0,3.7,4.0,3.3,4.0,4.0,3.0,4.0,4.0,,4.0,3.0,3.7,3.3,3.418
CS-97315,1.3,2.0,2.0,2.0,2.3,1.3,3.3,1.3,1.0,1.7,2.3,2.3,1.0,2.0,3.7,3.7,1.3,2.3,2.7,3.3,3.3,1.3,3.3,3.0,3.0,3.7,3.3,3.3,3.0,3.0,1.7,3.3,4.0,3.3,3.7,3.0,2.7,3.7,3.0,3.7,,2.729
CS-97316,2.3,4.0,4.0,3.7,4.0,3.7,3.0,4.0,3.3,3.3,4.0,3.7,4.0,4.0,4.0,3.7,4.0,4.0,4.0,4.0,2.3,4.0,3.7,3.0,4.0,4.0,3.7,4.0,4.0,4.0,4.0,4.0,4.0,3.3,3.7,3.7,,4.0,3.0,3.7,3.0,3.737
CS-97317,2.3,2.0,3.0,2.3,3.0,3.3,3.3,4.0,3.7,4.0,4.0,1.3,2.3,2.7,3.3,2.7,4.0,2.3,3.0,3.3,2.3,2.7,3.7,3.0,2.3,3.3,2.7,3.0,3.7,3.7,2.3,2.7,4.0,1.7,3.7,3.0,2.0,4.0,3.0,3.3,,3.06
CS-97318,2.0,2.7,3.0,3.7,3.3,3.3,3.3,3.7,2.3,2.3,3.0,3.7,2.0,3.0,3.0,3.3,3.3,3.3,2.0,3.3,3.0,3.0,3.3,2.7,2.3,3.3,3.3,3.0,3.3,2.7,2.0,3.3,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.3,,3.033
CS-97319,3.3,3.0,4.0,3.7,4.0,3.3,3.7,4.0,3.7,3.0,3.3,3.7,2.0,2.3,4.0,3.7,3.3,3.3,3.0,3.3,3.7,3.7,4.0,3.0,2.3,3.7,4.0,3.3,3.3,3.3,3.0,3.7,4.0,3.3,4.0,3.3,3.3,4.0,3.3,3.7,,3.476
CS-97320,1.3,1.0,3.7,1.0,2.0,1.7,3.0,1.3,1.3,1.0,1.0,3.3,1.0,4.0,3.0,1.3,2.0,1.7,3.0,1.7,3.0,1.0,3.0,2.7,1.0,2.7,1.7,2.3,1.3,2.3,1.7,1.7,4.0,2.0,3.0,2.7,2.7,3.3,2.3,3.3,,2.191
CS-97321,1.0,1.3,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.3,1.0,3.7,1.0,1.0,3.3,3.3,1.0,2.0,1.0,3.3,3.0,1.7,3.3,3.0,2.0,3.0,2.7,3.0,1.0,2.7,1.3,2.3,4.0,2.0,2.0,2.7,3.3,4.0,3.7,3.0,,2.266
CS-97322,2.7,3.3,3.3,2.0,3.7,3.0,3.7,4.0,3.7,3.3,3.7,4.0,3.0,2.7,3.7,3.7,4.0,2.7,3.0,4.0,4.0,3.0,3.7,3.0,2.3,3.3,3.3,3.7,3.3,3.7,2.0,3.3,4.0,3.0,3.3,2.7,,3.7,3.0,3.7,3.3,3.33
CS-97323,2.0,4.0,1.0,3.0,3.7,3.7,2.0,1.7,1.3,1.7,1.0,1.3,1.0,1.0,1.0,1.7,1.7,1.7,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.7,1.3,1.3,1.7,1.0,1.0,2.0,3.7,2.0,1.7,2.7,2.0,3.0,1.0,2.0,,1.886
CS-97324,1.7,2.7,3.3,2.0,3.7,1.7,3.3,2.3,3.3,2.7,3.0,4.0,1.0,1.3,3.3,3.3,3.3,3.0,2.7,3.3,3.0,1.7,3.0,3.3,1.7,3.3,3.3,3.0,2.7,3.3,1.0,3.7,4.0,2.7,3.0,2.7,3.3,4.0,3.3,3.3,,2.914
CS-97325,1.0,1.3,3.0,1.3,2.0,1.0,3.3,1.0,1.7,1.0,1.3,3.3,1.0,3.3,2.0,2.3,1.7,2.7,1.0,2.0,1.0,3.7,2.0,2.0,1.0,2.3,1.0,2.0,1.0,1.3,3.7,1.7,3.0,2.0,3.0,2.0,,3.0,2.3,3.3,3.0,2.028
CS-97326,3.0,3.3,4.0,3.7,4.0,4.0,3.7,4.0,3.0,3.3,3.7,4.0,4.0,3.0,4.0,3.7,3.7,3.7,3.7,3.7,3.3,3.0,4.0,3.0,3.0,3.7,3.7,4.0,3.7,4.0,3.0,3.7,4.0,3.0,2.7,3.3,3.3,4.0,3.7,3.3,,3.574
CS-97327,1.0,2.0,1.0,1.0,2.0,2.7,3.0,1.0,1.7,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.3,2.3,1.7,2.0,2.0,1.0,3.0,1.7,1.3,2.7,3.0,1.3,1.0,3.7,1.3,1.7,3.7,2.3,1.3,2.3,,3.0,2.3,2.7,2.7,1.955
CS-97328,1.0,2.0,1.0,1.0,2.0,1.7,2.3,3.0,2.0,3.3,2.0,2.0,1.0,1.3,3.0,2.0,1.3,2.7,2.7,2.0,2.0,1.3,2.3,2.7,2.0,2.7,1.0,1.3,1.7,1.7,2.3,1.0,3.3,2.0,3.0,2.3,1.3,3.0,1.3,2.0,,2.003
CS-97329,2.3,2.7,2.3,3.0,3.7,1.7,3.7,4.0,3.0,2.3,1.7,3.3,3.3,3.3,3.7,3.7,3.3,4.0,3.3,3.3,3.7,3.0,3.7,2.7,2.3,3.7,2.7,3.0,3.3,3.7,1.0,3.7,4.0,3.7,3.7,3.3,4.0,4.0,3.7,3.7,,3.259
CS-97330,2.3,3.7,4.0,3.0,4.0,3.0,2.7,4.0,3.0,3.7,4.0,3.0,4.0,3.0,4.0,3.3,4.0,2.0,4.0,4.0,3.0,4.0,4.0,2.7,3.3,4.0,3.3,4.0,4.0,4.0,3.7,4.0,4.0,3.7,4.0,3.7,,4.0,3.3,4.0,3.7,3.641
CS-97331,1.0,2.3,3.3,1.3,2.7,1.7,4.0,3.7,1.3,1.0,1.7,3.7,2.3,2.7,3.3,3.0,3.0,2.0,1.7,3.3,3.0,3.0,3.3,2.7,1.0,2.7,2.0,3.0,2.0,2.7,1.7,2.7,4.0,2.7,3.3,2.3,,3.7,2.3,3.3,2.7,2.599
CS-97332,2.3,2.7,2.3,1.7,2.7,2.7,3.0,2.3,2.0,1.7,1.3,2.3,1.0,1.3,2.7,2.3,3.0,2.3,1.0,3.0,3.0,1.0,1.7,1.3,1.3,3.0,1.7,2.7,2.0,2.0,1.0,1.3,3.7,1.0,1.3,3.0,2.3,3.3,2.0,3.3,,2.188
CS-97333,2.0,1.7,2.3,1.7,2.3,1.3,3.7,2.3,1.3,3.3,2.7,3.3,1.7,2.7,3.7,2.0,3.0,2.7,2.3,3.0,2.0,1.7,3.3,2.0,1.7,3.0,2.0,3.3,3.7,3.3,1.7,3.3,4.0,2.0,4.0,3.0,,3.7,2.7,4.0,3.7,2.716
CS-97334,3.0,2.0,2.7,2.3,3.7,2.0,3.3,3.3,3.0,2.7,2.7,3.7,1.0,2.3,3.7,3.3,2.0,3.7,2.0,2.3,2.7,2.3,3.3,2.7,1.3,3.0,2.7,3.0,1.7,2.7,1.0,1.7,3.7,2.3,1.3,2.3,3.7,3.7,3.0,3.7,,2.619
CS-97335,2.0,2.7,2.7,3.0,3.3,2.0,3.3,3.7,2.3,2.7,3.7,3.7,3.3,2.3,3.3,3.7,3.0,2.3,2.0,3.3,3.7,3.0,3.0,2.7,2.0,3.3,2.0,3.3,2.7,3.3,1.7,3.7,4.0,2.7,2.7,3.3,3.3,3.7,2.7,3.7,,2.995
CS-97336,1.0,1.7,1.0,1.3,2.3,2.7,2.7,1.7,1.3,1.0,1.0,2.0,1.0,1.0,2.3,2.3,2.0,2.0,1.0,2.3,3.7,1.0,2.7,2.0,1.7,1.7,1.3,1.7,2.0,3.7,1.3,1.7,4.0,1.3,1.3,2.0,1.7,3.3,2.3,3.0,,1.936
CS-97337,3.3,3.3,4.0,2.3,3.7,3.0,3.3,3.3,3.7,4.0,4.0,3.7,2.7,3.0,4.0,3.7,4.0,2.3,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.3,3.0,4.0,3.7,3.3,3.7,4.0,4.0,2.7,4.0,3.7,,4.0,3.3,4.0,3.3,3.615
CS-97338,3.0,2.7,1.3,2.0,2.3,1.3,3.3,3.0,1.3,2.3,3.0,3.3,1.7,1.3,2.7,2.7,2.3,2.3,1.7,2.0,3.3,1.7,3.3,1.0,1.0,3.3,1.7,2.0,3.0,3.0,1.3,2.3,4.0,2.3,3.7,3.3,,3.3,2.7,3.3,3.3,2.488
CS-97339,3.7,4.0,3.0,3.3,4.0,2.7,3.0,4.0,3.0,2.7,3.3,3.0,3.3,3.0,3.7,3.3,4.0,2.3,3.3,3.7,3.7,3.7,3.7,2.7,2.7,3.7,3.3,3.3,4.0,3.7,2.0,3.3,4.0,3.3,3.7,3.3,,3.7,3.7,3.3,3.3,3.408
CS-97340,1.0,1.0,3.0,1.7,2.3,3.0,2.7,2.3,2.0,1.3,1.7,2.7,1.0,1.7,3.3,3.0,1.3,2.0,2.0,2.7,2.0,1.3,3.3,3.0,2.0,3.3,3.0,3.0,2.7,3.0,1.3,2.7,4.0,2.7,2.3,3.0,3.0,3.7,2.3,3.3,,2.49
CS-97341,1.0,1.0,3.0,2.3,1.0,2.7,3.0,2.7,2.7,1.0,1.7,2.3,2.0,0.0,1.3,2.0,1.7,1.0,1.3,1.3,3.0,1.0,1.0,1.3,,3.0,3.0,1.0,4.0,2.0,2.3,1.0,2.0,0.0,3.3,0.0,,0.0,2.0,3.0,1.3,1.804
CS-97342,2.0,2.7,3.0,2.3,3.3,2.7,3.3,3.0,3.0,1.3,2.7,2.3,3.0,1.0,3.3,3.7,2.7,1.7,2.7,3.0,3.7,2.0,3.7,3.0,2.3,3.0,3.3,3.0,4.0,2.0,3.0,2.0,4.0,2.3,2.0,3.7,3.3,4.0,3.0,3.7,,2.88
CS-97343,2.7,3.7,4.0,3.3,3.7,3.0,3.3,4.0,3.7,3.3,4.0,3.7,3.3,2.3,3.3,3.0,4.0,2.7,3.0,3.7,3.3,3.7,2.7,2.3,2.3,3.3,1.0,2.0,2.3,3.0,2.3,2.7,4.0,3.0,4.0,3.0,4.0,3.7,3.0,3.0,,3.184
CS-97344,2.3,3.0,2.7,3.0,4.0,2.0,3.7,3.3,3.0,2.7,3.3,3.7,1.3,2.0,3.3,1.7,3.0,1.3,2.0,3.0,3.7,2.7,3.3,2.0,2.3,3.3,3.0,3.0,3.7,3.0,1.7,2.7,4.0,3.3,3.7,3.0,,4.0,3.3,4.0,3.3,2.984
CS-97345,3.3,3.0,2.7,3.3,2.7,3.0,3.0,2.7,1.7,1.3,1.7,2.7,1.3,2.7,3.0,3.0,3.0,2.7,1.0,3.3,2.3,1.7,3.0,2.0,1.7,2.7,1.3,1.0,2.3,1.7,1.0,2.7,3.3,1.3,2.0,3.0,2.0,3.0,2.3,3.0,,2.384
CS-97346,1.7,1.7,1.0,2.0,2.7,1.3,3.0,1.3,3.0,1.3,1.3,3.0,3.0,2.7,3.3,2.7,1.3,2.3,2.0,3.3,2.0,1.7,2.0,1.7,1.3,2.0,1.0,3.7,4.0,1.7,1.3,2.0,4.0,2.0,2.3,2.0,3.0,3.0,2.0,3.0,,2.236
CS-97347,2.3,3.0,3.7,4.0,4.0,3.3,3.7,4.0,2.7,2.3,2.7,4.0,2.0,3.0,3.0,2.7,2.7,1.7,2.0,3.3,3.7,2.7,3.7,2.7,2.7,3.0,2.7,4.0,2.7,3.0,2.3,3.3,4.0,3.3,1.3,3.0,,4.0,3.7,4.0,3.3,3.09
CS-97348,3.0,3.0,4.0,3.3,4.0,4.0,3.3,4.0,3.7,2.7,3.7,4.0,4.0,3.0,3.7,3.7,3.7,3.7,4.0,4.0,4.0,3.7,4.0,3.0,4.0,3.7,3.3,4.0,4.0,4.0,2.7,3.7,4.0,3.3,3.7,3.7,4.0,4.0,3.0,4.0,,3.689
CS-97349,1.0,1.0,1.0,1.0,1.7,1.7,1.7,2.3,2.0,1.0,2.7,3.3,1.0,1.0,1.7,3.0,3.0,1.7,2.0,2.0,1.3,1.0,2.0,1.3,2.0,2.0,3.7,4.0,1.0,3.7,3.0,2.7,4.0,1.3,2.3,1.0,1.7,3.0,1.3,3.3,,2.084
