Seat No.,PH-121,HS-101,CY-105,HS-105/12,MT-111,CS-105,CS-106,EL-102,EE-119,ME-107,CS-107,HS-205/20,MT-222,EE-222,MT-224,CS-210,CS-211,CS-203,CS-214,EE-217,CS-212,CS-215,MT-331,EF-303,HS-304,CS-301,CS-302,TC-383,MT-442,EL-332,CS-318,CS-306,CS-312,CS-317,CS-403,CS-421,CS-406,CS-414,CS-419,CS-423,CS-412,CGPA
CS-97152,3.7,2.3,3.7,3.7,2.7,4.0,2.7,1.7,2.0,2.7,3.7,3.3,2.0,3.3,2.7,1.7,1.3,2.0,2.7,3.0,1.7,2.0,1.7,2.7,2.3,2.3,2.7,2.3,3.7,3.3,3.3,3.7,1.3,2.3,2.7,1.7,3.7,3.7,3.7,1.3,2.0,2.631
CS-97153,3.7,3.7,4.0,4.0,3.7,4.0,4.0,2.3,4.0,3.3,4.0,3.7,4.0,4.0,3.7,3.7,2.0,3.7,2.3,3.7,2.7,2.3,1.0,3.3,1.7,3.0,3.3,4.0,3.7,3.3,3.7,3.7,3.3,2.7,3.0,3.3,3.7,4.0,3.7,2.3,3.7,3.365
CS-97154,4.0,3.0,3.7,3.0,3.3,3.7,1.7,3.7,3.3,1.7,4.0,3.0,2.3,3.7,2.3,2.7,1.7,1.7,2.7,3.3,1.3,2.7,1.0,2.7,3.3,2.7,3.7,3.0,3.7,3.3,3.7,3.7,2.0,2.0,3.0,2.3,3.7,4.0,2.7,2.3,3.3,2.936
CS-97155,3.7,3.7,3.7,2.7,3.0,3.7,2.7,3.7,3.3,1.0,3.7,3.0,2.0,4.0,2.0,1.7,3.7,1.3,1.0,3.7,1.3,1.3,1.0,1.7,3.7,1.3,3.3,1.7,3.3,2.3,3.3,3.7,1.3,2.0,1.3,2.3,3.3,4.0,1.7,2.7,3.0,2.603
CS-97156,3.7,3.7,4.0,4.0,3.7,4.0,3.7,3.3,2.0,3.0,4.0,4.0,3.7,3.7,1.3,3.7,1.7,3.3,3.7,3.7,3.3,3.0,2.3,3.3,3.3,3.7,3.7,3.3,4.0,3.3,3.7,3.7,3.0,2.7,2.3,2.0,3.7,4.0,3.0,2.0,4.0,3.254
CS-97157,4.0,3.7,3.7,4.0,3.7,4.0,4.0,3.7,3.7,3.7,4.0,3.3,4.0,4.0,3.7,4.0,3.7,3.7,3.7,3.7,3.7,3.7,2.7,3.0,3.0,4.0,3.7,3.7,3.3,3.0,4.0,4.0,3.7,3.7,3.3,3.0,3.7,3.7,3.7,2.3,3.7,3.662
CS-97158,3.7,2.7,3.7,4.0,2.7,4.0,3.0,3.3,3.0,3.3,3.7,3.7,3.7,3.7,2.7,3.7,3.3,3.7,3.3,3.7,3.3,3.7,2.0,3.0,3.3,2.3,3.0,3.7,3.7,3.7,3.3,3.3,1.7,2.7,2.3,2.3,3.7,3.7,2.7,2.0,3.7,3.182
CS-97159,3.7,3.7,3.7,4.0,3.7,4.0,3.7,3.7,2.7,2.7,3.7,2.7,2.3,4.0,1.3,3.7,2.0,3.3,2.0,4.0,3.7,2.7,3.0,1.7,3.7,2.0,3.3,3.0,3.7,3.3,3.7,3.7,1.3,2.7,2.7,2.7,3.7,4.0,3.0,2.3,3.7,3.114
CS-97160,4.0,1.3,3.7,4.0,3.7,4.0,4.0,4.0,3.3,3.0,4.0,3.7,4.0,4.0,4.0,4.0,4.0,3.3,3.7,4.0,3.3,4.0,3.7,2.7,3.3,3.7,4.0,4.0,4.0,3.0,4.0,4.0,3.7,4.0,4.0,3.3,3.7,4.0,4.0,3.7,4.0,3.725
CS-97161,4.0,4.0,4.0,3.3,4.0,4.0,3.3,3.0,2.3,3.3,4.0,3.7,3.0,4.0,1.3,3.7,1.7,3.0,3.0,3.3,3.7,3.7,2.7,3.0,3.7,3.7,3.7,2.7,3.7,2.7,4.0,3.3,2.0,3.0,2.7,2.3,3.7,3.7,3.7,2.3,3.3,3.261
CS-97162,4.0,3.7,3.7,3.3,3.7,4.0,3.7,3.0,2.7,3.7,4.0,3.7,4.0,4.0,2.7,3.7,3.7,3.7,3.7,3.7,3.7,3.3,2.3,2.7,2.0,4.0,4.0,3.7,3.7,3.7,3.7,3.7,3.7,4.0,3.7,1.3,3.7,3.7,3.7,2.3,3.0,3.5
CS-97163,4.0,2.7,4.0,4.0,3.0,4.0,3.7,3.7,4.0,3.7,4.0,3.7,3.7,4.0,4.0,3.7,2.7,2.7,3.7,3.7,3.3,3.7,3.0,2.7,2.0,3.7,4.0,4.0,4.0,3.0,4.0,4.0,3.3,4.0,3.7,2.7,3.7,4.0,3.7,2.7,3.7,3.571
CS-97164,4.0,2.7,3.3,4.0,3.0,4.0,4.0,2.7,3.0,2.7,4.0,3.7,3.7,4.0,3.7,3.3,1.7,2.7,2.0,3.7,3.0,3.0,2.7,2.7,2.7,3.0,3.3,3.7,4.0,3.3,3.7,3.7,2.0,3.3,3.0,2.3,3.7,3.7,3.0,2.0,3.7,3.227
CS-97165,4.0,3.3,3.0,3.0,3.7,4.0,3.3,2.3,3.3,2.7,3.7,3.0,2.7,4.0,2.7,3.7,2.0,2.7,2.3,3.7,2.0,2.0,2.0,2.0,2.3,2.3,3.3,2.7,2.3,3.0,3.0,3.7,2.0,2.0,2.7,2.3,3.7,3.7,2.7,2.3,3.7,2.918
CS-97166,4.0,3.7,4.0,4.0,3.7,4.0,4.0,2.7,3.3,3.7,4.0,4.0,3.7,4.0,4.0,4.0,3.7,3.3,3.7,3.7,3.3,3.3,2.0,2.3,3.3,3.7,3.7,3.7,3.7,3.7,4.0,3.7,3.3,3.7,3.3,3.0,3.7,4.0,3.7,3.7,4.0,3.625
CS-97167,4.0,3.3,4.0,4.0,3.7,4.0,4.0,2.3,3.3,3.7,4.0,4.0,3.7,4.0,4.0,4.0,3.0,3.7,3.3,4.0,3.3,3.7,2.7,3.3,2.7,3.7,4.0,3.7,3.7,3.7,3.7,3.7,3.3,4.0,3.7,3.7,3.7,4.0,3.7,3.7,4.0,3.672
CS-97168,4.0,3.7,3.7,2.3,3.7,3.7,3.7,3.0,3.3,3.7,3.7,3.7,2.7,3.7,2.0,3.7,1.7,3.0,2.7,3.3,2.7,3.7,1.7,2.3,2.7,3.0,3.7,3.7,3.3,2.7,3.7,4.0,2.7,3.3,3.7,1.7,3.7,3.7,3.3,2.7,4.0,3.241
CS-97169,4.0,2.3,3.7,4.0,2.3,3.7,3.0,2.0,3.3,1.3,4.0,3.7,3.0,4.0,3.7,2.3,1.3,1.3,1.7,2.7,1.7,3.3,1.7,2.7,3.3,2.0,3.7,3.7,4.0,2.7,3.3,3.7,1.7,2.7,3.7,3.0,3.7,4.0,2.7,2.7,4.0,2.982
CS-97170,3.3,3.7,3.7,3.7,3.7,3.7,2.7,3.3,2.7,3.0,4.0,3.0,3.7,4.0,3.3,3.7,2.7,3.3,3.7,3.7,2.3,2.3,1.7,2.3,2.7,3.0,3.7,3.7,3.0,3.7,3.0,3.7,3.0,3.0,3.3,1.7,3.7,3.7,3.7,3.0,3.3,3.246
CS-97171,4.0,4.0,3.7,4.0,3.7,4.0,4.0,3.7,2.3,4.0,4.0,3.7,4.0,4.0,3.7,4.0,4.0,3.7,4.0,3.7,3.7,3.3,3.7,3.7,2.7,4.0,4.0,4.0,3.7,3.7,4.0,4.0,3.3,4.0,4.0,3.0,3.7,3.7,4.0,3.7,3.7,3.759
CS-97172,2.7,2.3,3.7,3.7,2.7,4.0,2.0,2.7,2.7,1.3,3.7,2.3,1.3,2.7,1.0,4.0,3.0,4.0,1.0,2.0,1.0,2.7,1.0,1.7,2.0,1.3,2.7,1.0,1.3,2.0,3.7,2.7,2.3,1.0,1.3,2.0,3.7,3.7,1.3,1.0,3.0,2.35
CS-97173,3.7,1.7,2.7,3.7,2.3,3.7,3.0,2.3,3.7,2.0,3.7,2.3,3.0,4.0,1.7,3.0,2.3,1.7,2.0,3.3,1.7,3.7,2.7,2.7,2.0,2.7,3.7,2.7,3.7,2.7,3.7,3.7,2.7,2.7,3.3,2.7,3.3,4.0,2.3,3.3,4.0,2.947
CS-97174,2.0,3.0,3.0,1.3,2.7,3.7,1.7,1.3,1.7,1.0,3.0,3.7,1.0,3.7,1.0,2.0,1.0,1.3,1.3,2.7,1.3,1.3,1.3,2.7,2.7,1.7,3.0,2.7,2.7,2.3,3.3,3.3,3.7,1.7,2.3,2.0,3.7,4.0,2.3,2.7,3.7,2.394
CS-97175,4.0,3.0,4.0,4.0,3.7,4.0,3.7,3.7,4.0,3.7,4.0,3.7,4.0,4.0,3.7,4.0,3.3,3.7,3.7,3.7,3.3,3.7,3.3,3.0,2.7,3.7,4.0,4.0,4.0,3.7,3.7,4.0,3.7,3.7,3.7,3.7,3.7,4.0,3.7,3.7,4.0,3.723
CS-97176,3.7,2.3,3.7,4.0,3.0,4.0,3.7,3.0,3.7,2.7,4.0,3.7,3.7,4.0,4.0,3.7,2.3,3.0,2.3,4.0,2.7,3.3,1.0,2.3,3.7,2.3,3.7,3.7,4.0,3.7,3.3,3.7,2.7,2.7,3.0,3.0,3.7,4.0,3.7,1.7,4.0,3.266
